"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"Wolf_Sheep_Predation_simpler.nlogox"
"experiment_100_100"
"08/14/2026 14:46:38:973 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","wolf-reproduce","sheep-reproduce","grass-regrowth-time","[step]","land_with_grass","count sheep","count wolves"
"130","4","20","225","62","33.833141099577084","0","0"
"129","4","20","200","101","44.982698961937714","0","0"
"121","4","20","150","330","15.647827758554403","0","0"
"131","4","20","225","95","40.099961553248754","0","0"
"132","4","20","225","87","32.564398308342945","0","0"
"134","4","20","250","77","35.98615916955017","0","0"
"133","4","20","250","84","43.637062668204535","0","0"
"135","4","20","250","72","34.14071510957324","0","0"
"106","4","18","150","1448","23.260284505959245","0","0"
"107","4","18","150","1500","30.680507497116494","72","0"
"126","4","20","175","1500","21.261053440984238","25","0"
"136","6","4","150","1500","49.134948096885815","45","0"
"138","6","4","150","1500","51.2879661668589","36","0"
"139","6","4","175","1500","43.021914648212224","67","0"
"140","6","4","175","1500","32.44905805459439","35","0"
"137","6","4","150","1500","70.04998077662438","45","0"
"141","6","4","175","1500","47.712418300653596","37","0"
"142","6","4","200","1500","85.62091503267973","17","0"
"143","6","4","200","1500","77.50865051903114","3","0"
"144","6","4","200","1500","45.40561322568243","38","0"
"145","6","4","225","1500","40.21530180699731","14","0"
"149","6","4","250","252","72.74125336409074","0","0"
"146","6","4","225","1500","42.522106881968476","30","0"
"147","6","4","225","1500","42.445213379469436","21","0"
"148","6","4","250","1500","46.09765474817378","19","0"
"150","6","4","250","1500","58.246828143021915","22","0"
"151","6","6","150","1500","69.62706651287967","45","0"
"152","6","6","150","1500","73.43329488658209","27","0"
"155","6","6","175","1251","33.756247597078044","0","0"
"159","6","6","200","215","73.77931564782776","0","0"
"154","6","6","175","1500","67.85851595540177","25","0"
"160","6","6","225","118","48.904267589388695","0","0"
"162","6","6","225","222","67.39715494040753","0","0"
"156","6","6","175","1500","43.98308342945021","36","0"
"157","6","6","200","1500","52.94117647058823","14","0"
"153","6","6","150","1500","62.9757785467128","43","0"
"158","6","6","200","1500","52.825836216839676","16","0"
"164","6","6","250","138","47.36639753940792","0","0"
"168","6","8","150","404","63.24490580545944","0","0"
"166","6","8","150","376","60.5920799692426","0","0"
"169","6","8","175","195","81.31487889273356","0","0"
"165","6","6","250","944","24.529027297193387","0","0"
"161","6","6","225","1500","29.296424452133795","36","0"
"163","6","6","250","1371","45.25182622068435","0","0"
"172","6","8","200","470","24.029219530949636","0","0"
"175","6","8","225","133","53.24875048058439","0","0"
"173","6","8","200","538","41.29181084198385","0","0"
"167","6","8","150","1500","41.02268358323722","30","0"
"174","6","8","200","812","42.1760861207228","0","0"
"179","6","8","250","152","52.748942714340636","0","0"
"176","6","8","225","473","39.44636678200692","0","0"
"177","6","8","225","510","13.994617454825068","0","0"
"178","6","8","250","511","23.02960399846213","0","0"
"181","6","10","150","366","31.833910034602077","0","0"
"171","6","8","175","1500","34.02537485582468","20","0"
"170","6","8","175","1500","55.2479815455594","55","0"
"186","6","10","175","95","44.79046520569012","0","0"
"180","6","8","250","1500","59.32333717800846","46","0"
"188","6","10","200","158","55.36332179930796","0","0"
"182","6","10","150","1500","37.254901960784316","64","0"
"183","6","10","150","1500","40.5997693194925","19","0"
"190","6","10","225","124","48.63514033064206","0","0"
"184","6","10","175","1500","52.71049596309112","26","0"
