"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"Wolf_Sheep_Predation_simpler_changed.nlogox"
"experiment_100_100"
"08/14/2026 13:02:43:785 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","wolf-reproduce","sheep-reproduce","grass-regrowth-time","[step]","land_with_grass","count sheep","count wolves"
"125","4","20","175","161","54.36370626682045","0","0"
"128","4","20","200","76","31.218762014609766","0","0"
"123","4","20","150","338","9.95770857362553","0","0"
"130","4","20","225","62","32.83352556708958","0","0"
"132","4","20","225","65","30.2960399846213","0","0"
"129","4","20","200","108","46.21299500192234","0","0"
"133","4","20","250","67","36.87043444828912","0","0"
"131","4","20","225","84","34.525182622068435","0","0"
"122","4","20","150","503","12.341407151095732","0","0"
"134","4","20","250","96","34.17916186082276","0","0"
"135","4","20","250","73","31.295655517108806","0","0"
"139","6","4","175","1500","51.67243367935409","48","0"
"137","6","4","150","1500","49.94232987312572","28","0"
"141","6","4","175","1500","58.13148788927336","25","0"
"136","6","4","150","1500","56.01691657054979","27","0"
"140","6","4","175","1500","57.01653210303729","27","0"
"142","6","4","200","155","54.863514033064206","0","0"
"147","6","4","225","153","49.51941560938101","0","0"
"146","6","4","225","177","57.477893118031524","0","0"
"148","6","4","250","219","54.36370626682045","0","0"
"138","6","4","150","1500","51.018838908112265","30","0"
"145","6","4","225","523","24.759707804690503","0","0"
"149","6","4","250","377","89.96539792387543","0","0"
"150","6","4","250","733","50.67281814686659","0","0"
"144","6","4","200","1500","58.97731641676278","12","0"
"143","6","4","200","1500","32.641291810841984","24","0"
"152","6","6","150","1500","53.28719723183391","6","0"
"153","6","6","150","1500","42.86812764321415","23","0"
"151","6","6","150","1500","40.253748558246826","22","0"
"154","6","6","175","1500","36.409073433294886","104","0"
"160","6","6","225","164","49.7116493656286","0","0"
"155","6","6","175","1500","41.676278354479045","34","0"
"156","6","6","175","1500","78.39292579777009","16","0"
"161","6","6","225","113","49.058054594386775","0","0"
"157","6","6","200","831","67.08958093041139","0","0"
"163","6","6","250","246","59.438677431757014","0","0"
